applicant_name,career_stage,country,first_time,gender,subfield
Christine Garcia,senior-faculty,non-OECD,first_time,female,solar
Peter Craig,junior-faculty,non-OECD,returning,male,solar
Vanessa Mcclaskey,junior-faculty,non-OECD,returning,female,solar
Porfirio Curry,senior-faculty,non-OECD,first_time,male,exoplanets
Lillian Potts,student,non-OECD,first_time,female,solar
Karen Randall,senior-faculty,non-OECD,first_time,female,cosmology
Edmond Bergman,senior-faculty,OECD,first_time,male,cosmology
William Charland,senior-faculty,OECD,first_time,male,solar
Kelly Koeller,senior-faculty,non-OECD,returning,female,
Wayne Stevenson,senior-faculty,non-OECD,first_time,male,exoplanets
Owen Duran,junior-faculty,non-OECD,first_time,male,cosmology
Donna Greenberg,junior-faculty,non-OECD,first_time,female,solar
Kimberly Jones,senior-faculty,OECD,returning,female,
Estella Tanner,junior-faculty,non-OECD,first_time,female,cosmology
Concepcion Salazar,junior-faculty,non-OECD,returning,female,solar
Kathleen Hurley,junior-faculty,non-OECD,returning,female,astrophysics
Claudine Kessinger,senior-faculty,OECD,returning,female,cosmology
Homer Berrios,senior-faculty,non-OECD,returning,male,solar
Robert Thomas,junior-faculty,OECD,returning,male,cosmology
Sarah Bryson,student,OECD,returning,female,
Susan Butera,junior-faculty,OECD,returning,female,astrophysics
Bianca Anders,student,OECD,first_time,other,astrophysics
Jacqueline Bonson,junior-faculty,OECD,returning,female,cosmology
Linda Wade,student,non-OECD,first_time,female,astrophysics
Kristina Linville,junior-faculty,OECD,returning,female,exoplanets
Shirley Ramsey,,OECD,returning,female,exoplanets
Jesus Hughes,junior-faculty,OECD,returning,male,cosmology
Charles Jeffries,student,OECD,returning,male,cosmology
Richard November,senior-faculty,OECD,returning,male,cosmology
Gracie Holbrook,student,OECD,first_time,female,cosmology
