career_stage,country,first_time,gender,name,subfield
,non-OECD,first_time,female,Julia Labay,exoplanets
senior-faculty,OECD,,female,Antonio Dorsey,solar
junior-faculty,OECD,returning,male,Rocco Mitchell,solar
senior-faculty,OECD,returning,male,Jessie Morlan,cosmology
,OECD,first_time,female,Kimberly Ellinger,cosmology
junior-faculty,non-OECD,returning,female,Shelly Mathews,exoplanets
grad-student,non-OECD,first_time,other,Victoria Lary,exoplanets
senior-faculty,non-OECD,first_time,male,Jeremy Santos,exoplanets
senior-faculty,non-OECD,returning,female,Karen Loynes,solar
senior-faculty,OECD,returning,female,Madelyn Skinner,astrophysics
grad-student,non-OECD,returning,female,Gabrielle Hayes,astrophysics
senior-faculty,OECD,returning,female,Patricia London,exoplanets
junior-faculty,,first_time,male,Mark Rochat,solar
junior-faculty,OECD,returning,male,Jared Torgersen,solar
grad-student,,first_time,female,Dorothea Padilla,exoplanets
grad-student,OECD,,male,Bradley Benson,
grad-student,OECD,returning,female,Jocelyn Comeau,astrophysics
senior-faculty,non-OECD,returning,female,Beverly Prevost,cosmology
senior-faculty,OECD,returning,female,Janet Wright,astrophysics
grad-student,non-OECD,first_time,male,George Randall,astrophysics
senior-faculty,non-OECD,returning,female,Heather Ball,solar
grad-student,non-OECD,first_time,female,Eva Oconnor,astrophysics
senior-faculty,OECD,first_time,male,Hollis Wells,exoplanets
senior-faculty,OECD,first_time,male,Matthew Coffey,
senior-faculty,non-OECD,first_time,female,Helen House,cosmology
senior-faculty,non-OECD,first_time,male,Charles Lail,astrophysics
senior-faculty,non-OECD,first_time,female,Cynthia Sloan,astrophysics
senior-faculty,non-OECD,first_time,male,Andrew Kirby,exoplanets
senior-faculty,non-OECD,returning,female,Nancy Bailey,astrophysics
junior-faculty,non-OECD,returning,male,Robert Alley,astrophysics
senior-faculty,,returning,male,Randy Smith,solar
grad-student,non-OECD,first_time,female,Lori Doyle,cosmology
junior-faculty,non-OECD,returning,female,Janet Wadkins,astrophysics
senior-faculty,non-OECD,first_time,female,Norma Butler,cosmology
junior-faculty,OECD,returning,male,Wayne Brownlee,exoplanets
grad-student,non-OECD,returning,female,Deborah Silverstein,exoplanets
junior-faculty,OECD,returning,male,Patricia Richards,cosmology
senior-faculty,non-OECD,first_time,female,Laurie Garrick,exoplanets
junior-faculty,non-OECD,first_time,female,Tracey Higgins,cosmology
junior-faculty,OECD,returning,male,Charles Moon,exoplanets
grad-student,OECD,first_time,female,Alicia Tatsch,exoplanets
senior-faculty,OECD,first_time,female,Ashley Farmer,cosmology
grad-student,OECD,,female,Leslie Amaral,cosmology
junior-faculty,non-OECD,first_time,female,Adriane Chambers,solar
junior-faculty,OECD,returning,female,Mary Blackman,exoplanets
junior-faculty,OECD,returning,female,Beatrice Smuin,astrophysics
senior-faculty,non-OECD,first_time,female,Maire Ankney,cosmology
junior-faculty,OECD,first_time,female,Bertha Wilcox,solar
grad-student,OECD,returning,female,Christie Lloyd,solar
senior-faculty,non-OECD,first_time,male,Francis Cook,astrophysics
senior-faculty,non-OECD,first_time,female,Lucille Peralta,exoplanets
grad-student,non-OECD,first_time,female,Karen Reese,cosmology
grad-student,OECD,returning,male,Guy Leung,solar
senior-faculty,OECD,first_time,male,Joe Walker,astrophysics
grad-student,OECD,returning,female,Tasha Massart,exoplanets
senior-faculty,OECD,returning,female,Evelyn Relyea,
grad-student,non-OECD,returning,,Mary Molacek,solar
senior-faculty,OECD,first_time,female,Doris Visvardis,
grad-student,OECD,first_time,female,Gabriela Bates,exoplanets
senior-faculty,OECD,first_time,female,Kathleen Wigfall,solar
junior-faculty,OECD,returning,male,Anthony Doucet,exoplanets
senior-faculty,OECD,returning,female,Frieda Cardenas,exoplanets
senior-faculty,non-OECD,returning,male,Peter Mitchell,cosmology
junior-faculty,non-OECD,first_time,male,Daniel Irish,astrophysics
grad-student,OECD,returning,female,Beth Lederman,cosmology
junior-faculty,non-OECD,returning,male,Harry Williams,cosmology
grad-student,non-OECD,first_time,female,Georgie Gauthier,solar
junior-faculty,OECD,returning,female,Connie Jarvie,solar
grad-student,OECD,returning,other,Erik Klein,astrophysics
junior-faculty,OECD,returning,male,Jared Stradley,exoplanets
junior-faculty,non-OECD,returning,male,Howard Collison,cosmology
senior-faculty,OECD,returning,female,Evelyn Butler,astrophysics
grad-student,OECD,,male,Tom Aranda,solar
senior-faculty,non-OECD,returning,male,George Sutherland,solar
senior-faculty,non-OECD,returning,,David Dominique,solar
grad-student,non-OECD,returning,male,Fred Williams,solar
grad-student,non-OECD,returning,female,Sharon Best,cosmology
grad-student,OECD,returning,male,Richard Coffland,solar
senior-faculty,non-OECD,first_time,male,Kyle Romero,exoplanets
grad-student,non-OECD,returning,female,Lashawn King,astrophysics
grad-student,non-OECD,first_time,male,Victor Blackwell,cosmology
junior-faculty,non-OECD,first_time,male,Pablo Wilson,cosmology
junior-faculty,OECD,returning,male,George Bennett,solar
junior-faculty,OECD,returning,male,James Walden,cosmology
junior-faculty,non-OECD,first_time,female,Mary Donovan,exoplanets
grad-student,non-OECD,first_time,other,Jeremy Rivero,astrophysics
senior-faculty,non-OECD,first_time,,Tommie Lockman,cosmology
senior-faculty,OECD,first_time,female,Judy Wooten,astrophysics
junior-faculty,OECD,returning,male,Michael Schultheis,solar
grad-student,non-OECD,first_time,male,Alfred Thompson,solar
grad-student,OECD,returning,female,Tanya Horton,solar
junior-faculty,non-OECD,returning,female,Penelope Ruhlin,solar
senior-faculty,OECD,first_time,male,Brandon Schroeter,astrophysics
grad-student,OECD,first_time,male,Carlton Dejesus,solar
grad-student,non-OECD,first_time,female,Tina Wight,astrophysics
senior-faculty,non-OECD,first_time,female,Gabriela Lovisone,cosmology
grad-student,non-OECD,first_time,male,Mike Barr,astrophysics
grad-student,OECD,returning,female,Rita Gronlund,cosmology
grad-student,non-OECD,returning,female,Karen Nelson,astrophysics
junior-faculty,OECD,returning,female,Tracy Huff,cosmology
grad-student,OECD,first_time,,Boyce Hayward,cosmology
grad-student,non-OECD,first_time,female,Mary Herrera,
junior-faculty,non-OECD,first_time,female,Brandy Torres,astrophysics
grad-student,OECD,returning,male,Eugene Nolan,solar
junior-faculty,OECD,first_time,female,Alicia Commander,cosmology
grad-student,OECD,returning,,Steve Andrews,exoplanets
junior-faculty,non-OECD,first_time,female,Marlene Revis,exoplanets
,non-OECD,returning,female,Jessica Reynolds,astrophysics
grad-student,OECD,returning,female,Bonnie Zwick,exoplanets
,OECD,returning,male,Jeffrey Ayers,solar
senior-faculty,non-OECD,returning,female,Nora Weller,solar
senior-faculty,OECD,first_time,female,Senaida Rosario,astrophysics
junior-faculty,non-OECD,returning,female,Gladys Rosenfeld,solar
senior-faculty,OECD,returning,female,Gertrude Meighan,cosmology
senior-faculty,non-OECD,first_time,other,Todd Emerick,astrophysics
senior-faculty,non-OECD,first_time,female,Pat Hayes,cosmology
senior-faculty,non-OECD,first_time,male,Leon Walck,exoplanets
grad-student,non-OECD,returning,female,Julianna Poulin,solar
,OECD,first_time,male,Clarence Eckman,astrophysics
grad-student,OECD,returning,male,Karl Carter,exoplanets
senior-faculty,OECD,returning,female,Julia Pitts,astrophysics
grad-student,non-OECD,returning,male,Franklin Powell,astrophysics
junior-faculty,OECD,first_time,female,Margaret Mckim,exoplanets
grad-student,non-OECD,returning,male,Kristopher Mcguinn,exoplanets
junior-faculty,OECD,returning,male,Anthony Lande,astrophysics
senior-faculty,OECD,first_time,male,Charles Peterson,
grad-student,non-OECD,first_time,male,Robert Spearman,exoplanets
grad-student,non-OECD,returning,female,Deborah Fults,astrophysics
senior-faculty,OECD,first_time,female,Florence Dowker,exoplanets
senior-faculty,OECD,returning,female,Marcia Kuykendall,astrophysics
grad-student,non-OECD,first_time,female,Louise Liu,solar
senior-faculty,OECD,returning,male,Thomas Weeks,cosmology
grad-student,OECD,returning,other,Walter Maynard,solar
junior-faculty,OECD,returning,female,Hazel Markle,astrophysics
junior-faculty,non-OECD,first_time,male,George Castellana,cosmology
junior-faculty,OECD,returning,male,Joseph Bigler,solar
junior-faculty,non-OECD,first_time,male,Willie Maxwell,exoplanets
grad-student,OECD,returning,female,Sharon Hargrave,solar
senior-faculty,OECD,returning,male,Ralph Johnson,exoplanets
grad-student,OECD,returning,male,Christopher Maynor,cosmology
junior-faculty,non-OECD,first_time,female,Lynne Hart,exoplanets
senior-faculty,OECD,returning,male,Nicholas Smith,exoplanets
junior-faculty,non-OECD,returning,male,Dale Smith,cosmology
senior-faculty,OECD,returning,female,Vicki Mcnally,astrophysics
junior-faculty,OECD,returning,female,Maureen Dunn,exoplanets
junior-faculty,non-OECD,first_time,female,Keila Plante,astrophysics
,OECD,first_time,female,Mabel Harrison,cosmology
junior-faculty,OECD,first_time,female,Karla Miller,astrophysics
junior-faculty,non-OECD,returning,female,Lauren Hellyer,cosmology
junior-faculty,OECD,returning,male,Henry Drum,cosmology
grad-student,OECD,first_time,male,Mark Park,solar
grad-student,OECD,returning,female,Tamela Shoemaker,solar
senior-faculty,OECD,first_time,male,Peter Rosenberg,cosmology
junior-faculty,,first_time,female,Eleanor Wirkkala,solar
grad-student,non-OECD,returning,female,Brittany Singh,exoplanets
senior-faculty,non-OECD,returning,male,Jose Henry,astrophysics
senior-faculty,non-OECD,first_time,male,Benny Deas,solar
grad-student,non-OECD,first_time,female,Patricia Laforge,exoplanets
junior-faculty,non-OECD,first_time,female,Lynn Patrick,cosmology
senior-faculty,non-OECD,first_time,female,Linda Wilcox,solar
grad-student,non-OECD,first_time,male,Franklin Mendoza,solar
grad-student,OECD,first_time,other,Janet Williams,cosmology
junior-faculty,non-OECD,returning,female,Sandra Dotson,solar
junior-faculty,non-OECD,returning,male,Steven Teaff,exoplanets
junior-faculty,non-OECD,first_time,female,Donna Freund,exoplanets
senior-faculty,OECD,first_time,female,Elaine Campbell,astrophysics
senior-faculty,OECD,returning,female,Hazel Hartsock,exoplanets
senior-faculty,OECD,first_time,female,Pamela Bell,astrophysics
grad-student,OECD,first_time,other,Cathy Warner,astrophysics
grad-student,OECD,first_time,female,Margaret Bettes,exoplanets
senior-faculty,OECD,returning,male,Travis Young,astrophysics
senior-faculty,OECD,returning,female,Brandy Ramos,astrophysics
senior-faculty,OECD,first_time,female,Delores Brown,cosmology
junior-faculty,non-OECD,first_time,male,Gilbert Gill,cosmology
grad-student,non-OECD,returning,male,Ronald Tindol,exoplanets
junior-faculty,OECD,first_time,female,Betty Wood,astrophysics
junior-faculty,non-OECD,returning,male,Joe Ray,exoplanets
junior-faculty,non-OECD,first_time,female,Robin Daniels,solar
grad-student,non-OECD,returning,male,Jonathan Blake,cosmology
senior-faculty,non-OECD,first_time,male,Christopher Bauman,solar
grad-student,non-OECD,returning,male,Jaime Lawson,exoplanets
senior-faculty,non-OECD,returning,male,Jon Medlock,astrophysics
junior-faculty,OECD,first_time,male,Marvin Vanbuskirk,cosmology
junior-faculty,non-OECD,first_time,female,Cinda Walter,astrophysics
grad-student,non-OECD,returning,male,Fred Reynolds,solar
junior-faculty,OECD,first_time,male,Anthony Sanford,solar
senior-faculty,OECD,first_time,male,Eric Ojeda,cosmology
junior-faculty,OECD,first_time,female,Alicia Galindo,solar
grad-student,non-OECD,first_time,female,Connie Thomson,astrophysics
senior-faculty,OECD,first_time,male,Joseph Perry,astrophysics
