applicant_name,career_stage,country,first_time,gender,subfield
Edward Rivera,senior-faculty,OECD,returning,male,exoplanets
Edmundo Gray,senior-faculty,OECD,first_time,male,cosmology
Ryan Reed,junior-faculty,OECD,first_time,male,
Kenneth Caouette,senior-faculty,OECD,first_time,male,solar
Adalberto Zimmer,junior-faculty,OECD,returning,male,solar
Monica Alvarez,junior-faculty,non-OECD,returning,female,astrophysics
Christopher Park,junior-faculty,OECD,returning,male,cosmology
Robert Layne,senior-faculty,OECD,returning,male,solar
Gerardo Day,senior-faculty,non-OECD,first_time,male,solar
Courtney Stocker,junior-faculty,non-OECD,first_time,male,solar
Jessica Pierce,junior-faculty,non-OECD,first_time,female,cosmology
Edward Myers,senior-faculty,OECD,first_time,male,cosmology
Stanley Lanoue,student,OECD,returning,male,astrophysics
Myrtle Fernandez,junior-faculty,non-OECD,first_time,female,astrophysics
Danielle Dunkin,senior-faculty,non-OECD,returning,female,exoplanets
Donald Davis,student,OECD,first_time,male,astrophysics
David Pereira,junior-faculty,OECD,returning,male,cosmology
James Sanchez,senior-faculty,OECD,first_time,male,exoplanets
Howard Raneses,student,non-OECD,returning,male,solar
Douglas Ellis,student,OECD,first_time,male,exoplanets
Dexter Kafka,junior-faculty,OECD,first_time,male,exoplanets
Robert Gonzalez,student,OECD,returning,male,solar
Rosie Dean,junior-faculty,non-OECD,first_time,female,exoplanets
Walter Corona,student,non-OECD,first_time,male,exoplanets
Loren Walters,junior-faculty,OECD,returning,male,exoplanets
Randy Ordonez,junior-faculty,OECD,,male,cosmology
Haley Pollard,student,OECD,returning,female,exoplanets
John Caudill,junior-faculty,OECD,returning,male,exoplanets
Gene Burton,senior-faculty,non-OECD,returning,other,cosmology
Billy Baker,student,non-OECD,first_time,,astrophysics
James Schuler,senior-faculty,OECD,returning,male,exoplanets
Duane Cyphers,junior-faculty,OECD,first_time,male,astrophysics
Harold Alford,junior-faculty,OECD,first_time,male,exoplanets
Jacqueline Schrenk,senior-faculty,OECD,returning,female,astrophysics
Harold Bethel,junior-faculty,OECD,returning,male,astrophysics
George Russell,student,non-OECD,returning,male,astrophysics
Henry Montgomery,junior-faculty,non-OECD,first_time,male,cosmology
Abraham Jackson,senior-faculty,OECD,first_time,male,solar
Christopher Greenhalgh,junior-faculty,OECD,first_time,male,exoplanets
Ralph Sims,student,non-OECD,first_time,male,solar
Ronnie Smith,senior-faculty,non-OECD,first_time,male,astrophysics
Franklin Hurley,junior-faculty,non-OECD,returning,male,cosmology
Shirley Schug,junior-faculty,OECD,returning,female,cosmology
John Loo,senior-faculty,non-OECD,first_time,male,exoplanets
James Stewart,senior-faculty,non-OECD,first_time,male,solar
Ryan Kimball,junior-faculty,non-OECD,returning,male,exoplanets
Carmen Kelly,senior-faculty,non-OECD,first_time,female,cosmology
Kenneth Grubbs,,OECD,returning,male,astrophysics
Floyd Carrell,student,non-OECD,returning,male,exoplanets
Paul Brown,senior-faculty,OECD,returning,male,solar
Brad Mack,senior-faculty,,first_time,male,astrophysics
Hector Jones,senior-faculty,non-OECD,first_time,male,astrophysics
John Voigt,junior-faculty,OECD,returning,male,cosmology
James George,senior-faculty,OECD,returning,male,cosmology
James Pena,student,non-OECD,first_time,male,cosmology
Francisco Crecelius,student,non-OECD,returning,male,cosmology
Lorraine Black,junior-faculty,OECD,returning,female,exoplanets
Nicholas Lemons,senior-faculty,OECD,returning,male,cosmology
Jay Barrientos,junior-faculty,OECD,returning,male,solar
Marie Hof,junior-faculty,OECD,returning,other,cosmology
Alfredo Knie,junior-faculty,non-OECD,first_time,male,astrophysics
Donald Townsend,student,OECD,first_time,male,astrophysics
Francisco Birdsall,senior-faculty,OECD,returning,male,
David Rodriguez,student,OECD,first_time,male,exoplanets
Refugio Anderson,student,OECD,first_time,male,solar
Robert Shepard,junior-faculty,non-OECD,first_time,male,solar
Clyde Worthington,junior-faculty,non-OECD,returning,male,astrophysics
Dennis Murray,senior-faculty,non-OECD,returning,male,astrophysics
Harris Waterhouse,junior-faculty,OECD,first_time,male,astrophysics
Martin Whistler,student,non-OECD,returning,male,cosmology
Patricia Bettencourt,student,non-OECD,returning,female,cosmology
Quyen Hook,junior-faculty,non-OECD,returning,female,cosmology
Essie Tattershall,student,OECD,first_time,female,astrophysics
Bennie Castile,junior-faculty,OECD,first_time,male,solar
David Perry,student,non-OECD,returning,male,cosmology
Leo Earley,student,non-OECD,returning,male,exoplanets
Michael Schmidtke,senior-faculty,non-OECD,returning,male,cosmology
April Dinapoli,student,OECD,returning,female,exoplanets
Robert Lewis,senior-faculty,non-OECD,returning,male,astrophysics
James Roach,junior-faculty,OECD,first_time,male,cosmology
Jason Tomlinson,senior-faculty,non-OECD,returning,male,astrophysics
James Dan,senior-faculty,OECD,returning,male,astrophysics
Bonnie Navarro,senior-faculty,non-OECD,returning,other,cosmology
Harold Hawkins,senior-faculty,OECD,returning,male,
William Adams,junior-faculty,,returning,male,solar
Kelly Cambron,senior-faculty,OECD,returning,,solar
Thomas Cardoza,student,non-OECD,first_time,male,astrophysics
Lewis Myrick,junior-faculty,OECD,returning,male,solar
Victor Guzman,senior-faculty,non-OECD,,male,cosmology
Kenneth Shaw,junior-faculty,OECD,returning,male,astrophysics
Adrian Rehart,senior-faculty,OECD,returning,male,solar
Joseph Dawson,student,OECD,,male,
Thelma Kelly,senior-faculty,non-OECD,returning,female,solar
Vicky Stewart,junior-faculty,non-OECD,returning,other,cosmology
Misty Spear,senior-faculty,OECD,first_time,,astrophysics
Molly Miller,student,OECD,first_time,female,astrophysics
Martha Delacruz,student,non-OECD,returning,female,exoplanets
Phil Longino,student,OECD,first_time,male,cosmology
William Wise,junior-faculty,OECD,first_time,male,cosmology
Thomas Magos,senior-faculty,OECD,first_time,male,exoplanets
