applicant_name,career_stage,country,first_time,gender,subfield
Carl Kinslow,junior-faculty,OECD,first_time,male,exoplanets
Michael Anderson,senior-faculty,OECD,returning,male,solar
Timothy Stiffler,student,non-OECD,first_time,male,
Nelson Fawcett,student,OECD,first_time,male,exoplanets
Sammy Arendt,student,OECD,returning,male,solar
James Bigelow,student,non-OECD,returning,male,exoplanets
Alice Erickson,senior-faculty,non-OECD,returning,female,cosmology
James Larson,student,OECD,returning,male,exoplanets
Rafael Williams,junior-faculty,OECD,first_time,male,cosmology
Woodrow Laughlin,junior-faculty,OECD,returning,male,cosmology
Mary Moore,student,non-OECD,returning,female,cosmology
James Wang,student,OECD,first_time,male,cosmology
Kenneth Sylvester,student,OECD,returning,male,cosmology
Robert Goodman,senior-faculty,non-OECD,returning,male,exoplanets
Birdie Bonner,senior-faculty,OECD,returning,female,exoplanets
Mark Payne,senior-faculty,non-OECD,first_time,male,solar
Susan Finch,senior-faculty,non-OECD,first_time,female,astrophysics
Daniel Kelley,student,non-OECD,first_time,male,
Martin Meyers,senior-faculty,OECD,first_time,male,cosmology
Thomas Moran,junior-faculty,OECD,returning,male,solar
Michael Wild,senior-faculty,non-OECD,first_time,male,cosmology
Gerald Webb,student,non-OECD,returning,male,cosmology
Claudia Dennis,student,OECD,first_time,female,solar
Jimmy Mullins,senior-faculty,OECD,first_time,male,cosmology
Susana Houle,student,OECD,returning,female,cosmology
Maria Lee,junior-faculty,OECD,returning,female,cosmology
Agnes Miles,senior-faculty,OECD,returning,female,cosmology
Christopher Riley,junior-faculty,non-OECD,returning,male,astrophysics
Alfred Saavedra,senior-faculty,non-OECD,first_time,male,exoplanets
Elmer Mccrossen,senior-faculty,OECD,returning,male,cosmology
James Srinivasan,junior-faculty,OECD,returning,male,cosmology
Thomas Malloy,junior-faculty,OECD,first_time,male,cosmology
Sherry Rosenberg,senior-faculty,OECD,returning,female,exoplanets
Amy Dobson,student,non-OECD,first_time,female,cosmology
Robert Rose,student,non-OECD,first_time,male,cosmology
