career_stage,country,first_time,gender,name,subfield
junior-faculty,OECD,first_time,male,Andrew Wiltse,astrophysics
,non-OECD,returning,male,Stephen Miller,cosmology
junior-faculty,OECD,returning,female,Doris Havercroft,cosmology
senior-faculty,OECD,,male,Patrick Lindahl,cosmology
junior-faculty,OECD,returning,male,Shane Mccarthy,cosmology
grad-student,OECD,,male,Dwayne Post,cosmology
junior-faculty,OECD,first_time,female,Norma Baranoski,solar
junior-faculty,OECD,returning,male,Edward Corradino,solar
junior-faculty,OECD,returning,female,Michelle Manygoats,cosmology
junior-faculty,OECD,returning,male,Brian Mansur,cosmology
senior-faculty,OECD,first_time,male,Steven Harmon,astrophysics
junior-faculty,OECD,first_time,male,Dennis Carpenter,cosmology
junior-faculty,OECD,returning,male,Juan Fishburn,astrophysics
junior-faculty,OECD,first_time,female,Mary Farmer,cosmology
senior-faculty,OECD,first_time,male,William Winters,cosmology
junior-faculty,OECD,first_time,male,Jonathon Bedor,
junior-faculty,OECD,first_time,male,Edward Lind,cosmology
,non-OECD,returning,male,Angelo Thibault,
junior-faculty,OECD,,male,James Mitchell,astrophysics
junior-faculty,OECD,first_time,male,Hugo Morgan,exoplanets
junior-faculty,OECD,,male,Scott Householder,cosmology
junior-faculty,OECD,returning,female,Kay Mcclure,
senior-faculty,OECD,first_time,female,Charleen Oneill,cosmology
junior-faculty,OECD,returning,male,Anthony August,cosmology
senior-faculty,OECD,first_time,female,Mildred Loder,solar
junior-faculty,OECD,returning,male,Joshua Woody,cosmology
senior-faculty,non-OECD,returning,male,Johnny Scott,solar
junior-faculty,OECD,first_time,male,Trevor Papineau,astrophysics
junior-faculty,OECD,returning,male,Bruce Kelly,solar
junior-faculty,OECD,returning,male,Henry Lewis,cosmology
junior-faculty,OECD,returning,male,Paul Wolf,cosmology
grad-student,OECD,returning,male,Stephen Ownby,cosmology
junior-faculty,OECD,returning,male,Paul Gilkerson,exoplanets
junior-faculty,OECD,,female,Jackie Howard,cosmology
junior-faculty,OECD,returning,male,Oliver Franks,astrophysics
junior-faculty,OECD,returning,male,David Gould,cosmology
junior-faculty,OECD,returning,,Peter Wells,cosmology
grad-student,non-OECD,returning,male,Steve Bevelacqua,
,OECD,,male,Robert Hanson,cosmology
junior-faculty,OECD,returning,female,Sidney Villa,astrophysics
senior-faculty,OECD,returning,male,John Magaldi,exoplanets
senior-faculty,OECD,returning,female,Mary Polin,astrophysics
,non-OECD,,male,Joseph Wilson,cosmology
,OECD,first_time,female,Diane Lukow,solar
senior-faculty,OECD,first_time,female,Jaime Schwarz,astrophysics
junior-faculty,non-OECD,returning,female,Claudia Castillo,solar
junior-faculty,OECD,returning,male,Eric Goforth,cosmology
junior-faculty,OECD,returning,male,Christopher Littell,cosmology
senior-faculty,OECD,returning,male,Brian Pingrey,cosmology
junior-faculty,non-OECD,returning,,Alan Lundy,cosmology
senior-faculty,OECD,,male,Ryan Henson,cosmology
junior-faculty,OECD,returning,female,Helen Burgess,cosmology
senior-faculty,OECD,returning,,Mildred Dyke,solar
junior-faculty,OECD,,male,Carl Kleckner,exoplanets
junior-faculty,OECD,returning,male,Charles Simpson,cosmology
junior-faculty,OECD,returning,female,Dorothy Husbands,cosmology
junior-faculty,OECD,returning,male,Jeffrey Rios,
junior-faculty,OECD,,other,Virginia Bender,astrophysics
junior-faculty,OECD,returning,male,Todd Blaisdell,solar
senior-faculty,OECD,returning,female,Angela Blaize,exoplanets
junior-faculty,OECD,,female,Heather Kellogg,cosmology
senior-faculty,OECD,returning,female,Nydia Robinson,cosmology
junior-faculty,OECD,returning,male,Jimmy Fish,cosmology
junior-faculty,OECD,returning,female,Veronica Jefferson,cosmology
junior-faculty,OECD,first_time,female,Frances Calhoun,exoplanets
junior-faculty,OECD,returning,male,Alton Jacobsma,cosmology
junior-faculty,OECD,returning,male,David Martinez,cosmology
junior-faculty,OECD,returning,male,Martin Carruthers,astrophysics
junior-faculty,OECD,returning,male,Chase Guzman,astrophysics
,OECD,returning,male,Edward Miller,cosmology
,OECD,returning,female,Rena Burnette,cosmology
junior-faculty,OECD,first_time,male,Mark Rosenzweig,cosmology
grad-student,OECD,,female,Bobbie To,astrophysics
senior-faculty,OECD,returning,male,Craig Maloney,cosmology
junior-faculty,OECD,returning,,Lacie Davenport,exoplanets
senior-faculty,OECD,first_time,male,John Laswell,astrophysics
senior-faculty,OECD,first_time,,James Madsen,cosmology
junior-faculty,OECD,returning,female,Jacqueline Vaughan,cosmology
junior-faculty,OECD,first_time,male,Roy Smith,cosmology
grad-student,OECD,returning,male,Paul Seybold,cosmology
grad-student,OECD,,male,Wilburn Swarr,
junior-faculty,OECD,first_time,male,John Traylor,cosmology
grad-student,OECD,returning,female,Lillian Plumley,cosmology
grad-student,OECD,returning,male,Chester Cox,cosmology
,non-OECD,,male,Thomas Vannest,cosmology
junior-faculty,OECD,returning,female,Suzanne Higgins,solar
junior-faculty,OECD,returning,female,Priscilla Church,solar
junior-faculty,OECD,,male,William Koch,
junior-faculty,OECD,,male,Lionel Trout,solar
junior-faculty,,returning,female,Margaret Ladner,cosmology
senior-faculty,OECD,first_time,female,Lisa Adams,cosmology
junior-faculty,OECD,,male,John Ledford,cosmology
