applicant_name,career_stage,country,first_time,gender,subfield
Ronald Jones,junior-faculty,OECD,first_time,male,exoplanets
Gerry Armstrong,senior-faculty,OECD,returning,male,cosmology
Paula Gaskill,senior-faculty,OECD,returning,,cosmology
Benjamin Kinney,senior-faculty,OECD,returning,male,
Robert Vazquez,junior-faculty,OECD,first_time,male,cosmology
Jeff Greenfield,senior-faculty,OECD,returning,male,cosmology
Joey Clark,senior-faculty,non-OECD,first_time,male,cosmology
Steven Dana,junior-faculty,OECD,returning,male,cosmology
Robert Rice,senior-faculty,OECD,returning,male,cosmology
Jason Oconnell,senior-faculty,OECD,first_time,male,cosmology
Jacqueline Sugarman,senior-faculty,OECD,returning,female,cosmology
Norma Cohen,senior-faculty,OECD,first_time,female,cosmology
Cecil Amyotte,senior-faculty,non-OECD,returning,male,exoplanets
Leonard Fouts,senior-faculty,OECD,first_time,male,cosmology
Marcella Chapman,junior-faculty,OECD,returning,female,cosmology
Paul Mills,student,OECD,returning,male,exoplanets
Jose Carlton,junior-faculty,OECD,first_time,male,cosmology
Virgil Jones,junior-faculty,OECD,first_time,male,cosmology
Jeffery Sellers,student,OECD,returning,male,cosmology
Daniel Scott,senior-faculty,OECD,first_time,male,cosmology
Jacob Eldridge,junior-faculty,OECD,returning,male,cosmology
Rhoda Wilkerson,junior-faculty,OECD,first_time,female,cosmology
Daniel Conner,student,non-OECD,returning,male,cosmology
James Hunt,junior-faculty,OECD,returning,male,astrophysics
Barbara Scheffel,junior-faculty,OECD,returning,female,cosmology
Ralph Ryan,junior-faculty,OECD,first_time,male,astrophysics
Olive Herzog,senior-faculty,OECD,returning,female,exoplanets
Michael Newell,senior-faculty,OECD,returning,male,cosmology
Thomas Patterson,senior-faculty,OECD,first_time,male,astrophysics
Tony Grimm,junior-faculty,OECD,returning,male,cosmology
