applicant_name,career_stage,country,first_time,gender,subfield
Walter Bell,senior-faculty,OECD,first_time,male,cosmology
Kimberly Henke,junior-faculty,OECD,returning,female,cosmology
Cristina Rood,student,OECD,returning,female,cosmology
Thomas Bowen,senior-faculty,OECD,returning,male,solar
Sammie Carroll,junior-faculty,OECD,returning,male,cosmology
Peter Baker,student,OECD,returning,male,cosmology
John Pollard,junior-faculty,non-OECD,returning,male,cosmology
Karen Voigt,junior-faculty,OECD,returning,female,exoplanets
Teresa Jones,senior-faculty,,returning,female,astrophysics
Paul Aquilina,junior-faculty,OECD,returning,male,exoplanets
William Giese,senior-faculty,OECD,returning,male,astrophysics
George Baer,junior-faculty,OECD,returning,male,exoplanets
Billy Woodson,junior-faculty,OECD,first_time,male,solar
Andrew Holiday,junior-faculty,OECD,returning,male,astrophysics
Darren Christmas,senior-faculty,OECD,first_time,male,astrophysics
Anthony Nadler,junior-faculty,OECD,first_time,male,solar
Edwin Williams,junior-faculty,OECD,returning,male,solar
Shirly Wolford,junior-faculty,non-OECD,returning,female,cosmology
Juanita Nelsen,junior-faculty,OECD,first_time,female,exoplanets
Gilbert Luther,senior-faculty,OECD,returning,male,exoplanets
Raymond Wada,junior-faculty,OECD,returning,male,exoplanets
George Craven,junior-faculty,OECD,first_time,male,cosmology
John Heizman,junior-faculty,OECD,first_time,male,cosmology
Ryan Marler,senior-faculty,OECD,returning,male,astrophysics
Dean Fleming,junior-faculty,OECD,first_time,male,solar
Anthony Eller,junior-faculty,OECD,returning,male,cosmology
John Getter,senior-faculty,OECD,returning,male,
Randall Walker,student,OECD,returning,male,exoplanets
Karl Harper,junior-faculty,OECD,returning,male,solar
Alfred Verret,student,OECD,first_time,male,exoplanets
Johanna Miller,junior-faculty,OECD,first_time,female,astrophysics
James Acker,junior-faculty,OECD,first_time,male,cosmology
David Carideo,junior-faculty,OECD,returning,male,astrophysics
Charles Newman,junior-faculty,OECD,first_time,male,astrophysics
Andrew Harris,junior-faculty,OECD,returning,male,astrophysics
Frank Herrera,,OECD,first_time,male,astrophysics
Diane Brown,senior-faculty,OECD,returning,female,astrophysics
Curtis Lundeen,junior-faculty,OECD,returning,male,exoplanets
Steve Lindsey,senior-faculty,OECD,first_time,male,exoplanets
Maria Neal,senior-faculty,OECD,returning,female,cosmology
Rose Thomas,senior-faculty,OECD,returning,other,exoplanets
Leon Hays,junior-faculty,OECD,returning,male,solar
Frederic Madlock,senior-faculty,OECD,first_time,male,cosmology
Gilbert Michaud,junior-faculty,OECD,returning,male,exoplanets
Hollis Hernandez,junior-faculty,OECD,returning,male,solar
Stacey Argabright,junior-faculty,OECD,first_time,male,cosmology
James Wiley,junior-faculty,OECD,returning,male,cosmology
Cheyenne Jackson,junior-faculty,OECD,returning,female,cosmology
Franklin Lujan,junior-faculty,OECD,returning,male,astrophysics
Joel Adams,junior-faculty,OECD,returning,male,cosmology
Thomas Tran,junior-faculty,OECD,returning,male,cosmology
Kari Smith,junior-faculty,OECD,returning,female,exoplanets
Ingrid Brown,senior-faculty,OECD,returning,female,astrophysics
Kathi Dubois,junior-faculty,OECD,returning,female,astrophysics
Alfred Brooks,junior-faculty,OECD,returning,male,
Lynn Torrie,junior-faculty,OECD,returning,male,exoplanets
Jerry Charan,junior-faculty,OECD,returning,male,solar
Dominick Mattern,junior-faculty,OECD,returning,male,astrophysics
Christine Morgan,senior-faculty,OECD,returning,female,solar
Patricia Ruiz,,OECD,returning,female,astrophysics
Anthony Cebula,senior-faculty,OECD,returning,male,astrophysics
Bennie Atkins,senior-faculty,OECD,returning,male,solar
Lois Cupp,senior-faculty,OECD,returning,female,exoplanets
Sam Glenn,junior-faculty,OECD,first_time,other,cosmology
Fredrick Pacheo,senior-faculty,OECD,returning,male,exoplanets
Thomas Carolin,junior-faculty,OECD,first_time,male,exoplanets
Kelvin Price,student,OECD,returning,male,exoplanets
Daniel Roberts,,OECD,returning,male,
Douglas Melendez,student,OECD,first_time,male,solar
Alice Clay,junior-faculty,OECD,first_time,female,astrophysics
Robert Tate,senior-faculty,OECD,returning,male,exoplanets
Todd Buchanan,junior-faculty,OECD,first_time,male,exoplanets
Robert Doughty,junior-faculty,OECD,first_time,male,cosmology
Beverly Jankowski,junior-faculty,OECD,first_time,female,cosmology
Linda Subert,junior-faculty,OECD,returning,female,cosmology
Courtney Richey,student,OECD,first_time,female,astrophysics
Nestor Ortiz,junior-faculty,OECD,returning,male,exoplanets
Terry Preston,junior-faculty,OECD,returning,male,exoplanets
Curtis Evanich,junior-faculty,OECD,returning,male,exoplanets
Alejandro Fiorita,senior-faculty,OECD,returning,male,solar
Lorenzo Verhoeven,junior-faculty,OECD,first_time,male,exoplanets
Virginia Lewis,student,OECD,returning,female,exoplanets
James Calaf,junior-faculty,OECD,returning,male,solar
Roy Ingram,student,non-OECD,returning,,exoplanets
Sydney Strauss,junior-faculty,OECD,first_time,female,cosmology
Michael Chalifoux,junior-faculty,OECD,returning,male,cosmology
Richard Boyd,junior-faculty,OECD,returning,male,
Alex Watson,junior-faculty,OECD,returning,male,astrophysics
Herbert Sauredo,junior-faculty,OECD,first_time,male,astrophysics
Tony Paul,junior-faculty,non-OECD,first_time,other,exoplanets
Brenton Hale,senior-faculty,OECD,returning,male,
Alberto Birmingham,senior-faculty,OECD,returning,male,solar
Charles Herreras,junior-faculty,OECD,returning,male,exoplanets
Roland Quarry,junior-faculty,OECD,first_time,male,astrophysics
Debora Brown,junior-faculty,OECD,first_time,female,astrophysics
Joann Herb,senior-faculty,OECD,returning,female,exoplanets
Bryan Bassett,junior-faculty,OECD,first_time,male,cosmology
Thomas Lail,junior-faculty,OECD,returning,male,cosmology
Steven Cruz,senior-faculty,OECD,returning,male,astrophysics
