career_stage,country,first_time,gender,name,subfield
grad-student,OECD,first_time,female,Julie Stark,cosmology
senior-faculty,OECD,returning,male,Marvin Puga,
junior-faculty,non-OECD,returning,male,Dustin Roby,cosmology
grad-student,OECD,returning,male,Ross Beals,exoplanets
grad-student,OECD,first_time,male,Walter Andres,solar
junior-faculty,OECD,first_time,male,Todd Holt,astrophysics
grad-student,OECD,first_time,male,Ben Durst,cosmology
junior-faculty,OECD,first_time,female,Cassandra Hernandez,astrophysics
senior-faculty,OECD,returning,male,Dustin Kearns,astrophysics
senior-faculty,non-OECD,returning,male,Joseph Logan,solar
grad-student,OECD,returning,male,Joel Scalf,exoplanets
grad-student,OECD,returning,male,Warren Boyce,cosmology
senior-faculty,OECD,returning,female,Kim Woodard,astrophysics
junior-faculty,OECD,returning,male,Mervin Harkrader,
senior-faculty,OECD,returning,female,Alexandra Chun,astrophysics
grad-student,OECD,first_time,female,Angelica Sullivan,solar
grad-student,OECD,returning,male,Thomas Sanders,cosmology
grad-student,,first_time,female,Christy Mosby,
grad-student,OECD,returning,male,Howard Trantham,astrophysics
junior-faculty,OECD,first_time,male,Rodolfo Dyer,solar
junior-faculty,OECD,returning,female,Frankie Cruz,cosmology
grad-student,OECD,returning,female,Claire Pettrey,solar
junior-faculty,OECD,first_time,female,Evelyn Mcdaniel,solar
grad-student,OECD,first_time,female,Audrey Saul,cosmology
grad-student,OECD,first_time,male,Jack Pearce,solar
senior-faculty,OECD,returning,male,Jon Mcmahon,exoplanets
grad-student,OECD,first_time,female,Patricia Looney,solar
grad-student,OECD,returning,male,James Taylor,exoplanets
junior-faculty,OECD,,male,Richard Poisson,solar
junior-faculty,OECD,first_time,male,Cameron Wolfe,cosmology
junior-faculty,OECD,returning,female,Effie Lasiter,exoplanets
junior-faculty,OECD,first_time,male,Michael Hauser,cosmology
grad-student,OECD,first_time,male,Charles Beltz,
grad-student,OECD,first_time,,Rhoda Tovey,solar
senior-faculty,OECD,first_time,male,Brent Moore,astrophysics
grad-student,OECD,returning,male,Otis Riddle,astrophysics
senior-faculty,OECD,returning,male,Gary Neuman,astrophysics
grad-student,OECD,first_time,female,Irma Lohrenz,astrophysics
senior-faculty,OECD,returning,male,Daniel Sanchez,exoplanets
senior-faculty,OECD,first_time,male,Andrew Lucero,astrophysics
senior-faculty,non-OECD,returning,male,Robert Speigel,solar
senior-faculty,OECD,returning,male,Clifford Young,cosmology
grad-student,OECD,first_time,female,Nancy Blackmon,exoplanets
junior-faculty,non-OECD,,male,Charles Ragland,cosmology
grad-student,OECD,first_time,male,Jon Tauber,cosmology
junior-faculty,OECD,first_time,male,Richard Lastrapes,exoplanets
grad-student,OECD,returning,male,Michael Hoover,cosmology
grad-student,OECD,first_time,male,Robert Leon,cosmology
senior-faculty,OECD,first_time,female,Eliana Billiter,exoplanets
grad-student,OECD,first_time,male,Cliff Middendorf,cosmology
grad-student,OECD,returning,male,Michael Coy,cosmology
grad-student,OECD,returning,female,Maria Miller,cosmology
junior-faculty,OECD,returning,female,Rose Larcom,solar
senior-faculty,non-OECD,returning,male,William Jennings,astrophysics
junior-faculty,OECD,returning,female,Brittany Goodrow,cosmology
senior-faculty,OECD,returning,male,Barry Robinson,solar
grad-student,OECD,returning,female,Anna Osborne,cosmology
junior-faculty,OECD,first_time,female,Doris Leaf,astrophysics
senior-faculty,OECD,returning,male,Timothy Mcclain,cosmology
grad-student,OECD,first_time,female,Marilyn Placha,solar
junior-faculty,OECD,returning,female,Erin Brown,solar
grad-student,OECD,first_time,male,Ross Oconnor,astrophysics
grad-student,OECD,first_time,female,Pamela Rogers,solar
junior-faculty,OECD,first_time,male,William Hogue,exoplanets
junior-faculty,OECD,first_time,female,Laverne Luna,solar
junior-faculty,,first_time,female,Karen Sapp,solar
senior-faculty,OECD,first_time,female,Celia Johnson,exoplanets
grad-student,OECD,returning,female,Kimberly Mccollough,astrophysics
senior-faculty,OECD,first_time,male,Steve Nagata,
junior-faculty,OECD,first_time,male,Leon Pomroy,exoplanets
junior-faculty,OECD,first_time,male,Justin Hawkins,astrophysics
junior-faculty,OECD,first_time,male,William Paynes,solar
grad-student,OECD,first_time,male,Timothy Jessen,exoplanets
grad-student,OECD,returning,female,Annie Prohaska,exoplanets
junior-faculty,OECD,first_time,female,Georgette Caouette,
senior-faculty,OECD,returning,male,Sean Dawson,cosmology
junior-faculty,OECD,first_time,female,Veronica Scovel,solar
senior-faculty,OECD,first_time,female,Michelle Shortell,solar
grad-student,OECD,first_time,male,Thomas Moses,astrophysics
junior-faculty,OECD,first_time,male,Frank Brooks,exoplanets
junior-faculty,OECD,first_time,female,Amy Miller,cosmology
junior-faculty,OECD,returning,male,Edward Shaffer,solar
junior-faculty,OECD,first_time,male,William Cox,cosmology
senior-faculty,OECD,returning,female,Deborah Oneill,astrophysics
senior-faculty,OECD,returning,female,Anna Charley,astrophysics
grad-student,OECD,first_time,female,Ann Anderson,cosmology
junior-faculty,OECD,first_time,male,Arthur Thorpe,cosmology
senior-faculty,OECD,first_time,male,John Fitzgerald,exoplanets
junior-faculty,OECD,,female,Dahlia Levy,cosmology
grad-student,OECD,returning,male,Noel Concepcion,exoplanets
senior-faculty,OECD,returning,female,Kathy Owens,astrophysics
grad-student,OECD,first_time,male,Brian Beagle,exoplanets
junior-faculty,OECD,first_time,female,Jamie Purcell,solar
junior-faculty,non-OECD,returning,female,Rosemary Griffith,exoplanets
grad-student,OECD,returning,male,Nick Wellman,astrophysics
grad-student,OECD,first_time,female,Carla Humphrey,solar
senior-faculty,OECD,returning,female,Norma Combs,exoplanets
grad-student,OECD,first_time,female,Evette Cohran,exoplanets
senior-faculty,OECD,first_time,female,Jennifer Patterson,astrophysics
grad-student,OECD,first_time,female,Josephine Schwandt,exoplanets
