career_stage,country,first_time,gender,name,subfield
junior-faculty,non-OECD,first_time,male,Bill Pollard,cosmology
junior-faculty,non-OECD,returning,female,Jamila Salinas,cosmology
senior-faculty,OECD,returning,male,Lloyd Stalker,solar
grad-student,non-OECD,first_time,male,Alfred Guzowski,astrophysics
grad-student,non-OECD,returning,female,Tiffany Sadan,astrophysics
junior-faculty,OECD,returning,female,Ethel Morris,astrophysics
senior-faculty,OECD,returning,male,Earl Welker,exoplanets
grad-student,non-OECD,returning,male,Billy Moore,astrophysics
grad-student,OECD,returning,male,Alfred Wrape,astrophysics
grad-student,OECD,returning,female,Barbara Huckaby,cosmology
senior-faculty,OECD,returning,male,Robert Cahill,solar
grad-student,non-OECD,returning,female,Eileen Barron,cosmology
senior-faculty,OECD,first_time,male,Steven Wood,astrophysics
grad-student,OECD,first_time,male,David Stein,exoplanets
junior-faculty,OECD,returning,male,Ronnie Judge,exoplanets
grad-student,non-OECD,returning,male,Brian Thornton,solar
grad-student,OECD,returning,male,David Mainor,solar
senior-faculty,non-OECD,returning,male,Leonardo Koetter,astrophysics
senior-faculty,OECD,returning,male,Richard Miller,astrophysics
senior-faculty,OECD,returning,male,Charles Davies,solar
